id,gpu,rate,url
102,nvidia geforce gtx 1050 + intel hd graphics 630,54,https://versus.com/ru/nvidia-geforce-gtx-1050
103,nvidia geforce gtx 1050 + intel uhd 620,54,https://versus.com/ru/nvidia-geforce-gtx-1050
104,nvidia geforce gtx 1050 + intel uhd graphics 630,54,https://versus.com/ru/nvidia-geforce-gtx-1050
105,nvidia geforce gtx 1050 ti,54,https://versus.com/ru/nvidia-geforce-gtx-1050-ti
106,nvidia geforce gtx 1050 ti + amd radeon vega 8,54,https://versus.com/ru/nvidia-geforce-gtx-1050-ti
107,nvidia geforce gtx 1050 ti + intel hd graphics 630,54,https://versus.com/ru/nvidia-geforce-gtx-1050-ti
108,nvidia geforce gtx 1050 ti + intel uhd graphics 630,54,https://versus.com/ru/nvidia-geforce-gtx-1050-ti
109,nvidia geforce gtx 1060 + intel hd graphics 630,63,https://versus.com/ru/nvidia-geforce-gtx-1060
110,nvidia geforce gtx 1080 + intel hd graphics,77,https://versus.com/ru/nvidia-geforce-gtx-1080
111,nvidia geforce gtx 1650,68,https://versus.com/ru/nvidia-geforce-gtx-1650
112,nvidia geforce gtx 1650 + amd radeon rx vega 10,68,https://versus.com/ru/nvidia-geforce-gtx-1650
113,nvidia geforce gtx 1650 + amd radeon vega 8,68,https://versus.com/ru/nvidia-geforce-gtx-1650
114,nvidia geforce gtx 1650 + intel hd graphics 630,68,https://versus.com/ru/nvidia-geforce-gtx-1650
115,nvidia geforce gtx 1650 + intel uhd 630,68,https://versus.com/ru/nvidia-geforce-gtx-1650
116,nvidia geforce gtx 1650 + intel uhd graphics 620,68,https://versus.com/ru/nvidia-geforce-gtx-1650
117,nvidia geforce gtx 1650 + intel uhd graphics 630,68,https://versus.com/ru/nvidia-geforce-gtx-1650
118,nvidia geforce gtx 1650 4gb,68,https://versus.com/ru/nvidia-geforce-gtx-1650
119,nvidia geforce gtx 1660,68,https://versus.com/ru/nvidia-geforce-gtx-1650
120,nvidia geforce gtx 1660 ti,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
121,nvidia geforce gtx 1660 ti + intel uhd graphics 630,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
122,nvidia geforce gtx 1660 ti 6gb,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
123,nvidia geforce gtx 1660ti,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
124,nvidia geforce mx 110,41,https://versus.com/ru/nvidia-geforce-mx110
125,nvidia geforce mx 130,42,https://versus.com/ru/nvidia-geforce-mx110
126,nvidia geforce mx 150 + intel uhd 620,47,https://versus.com/ru/nvidia-geforce-mx150
127,nvidia geforce mx110,41,https://versus.com/ru/nvidia-geforce-mx110
128,nvidia geforce mx110 + intel hd graphics 620,41,https://versus.com/ru/nvidia-geforce-mx110
129,nvidia geforce mx110 2gb,41,https://versus.com/ru/nvidia-geforce-mx110
130,nvidia geforce mx130,42,https://versus.com/ru/nvidia-geforce-mx110
131,nvidia geforce mx130 + intel hd graphics 620,42,https://versus.com/ru/nvidia-geforce-mx110
132,nvidia geforce mx130 + intel uhd graphics 620,42,https://versus.com/ru/nvidia-geforce-mx110
133,nvidia geforce mx130 2gb,42,https://versus.com/ru/nvidia-geforce-mx110
134,nvidia geforce mx150,47,https://versus.com/ru/nvidia-geforce-mx150
135,nvidia geforce mx150 + intel hd graphics 630,47,https://versus.com/ru/nvidia-geforce-mx150
136,nvidia geforce mx150 + intel uhd 620,47,https://versus.com/ru/nvidia-geforce-mx150
137,nvidia geforce mx150 + intel uhd graphics 620,47,https://versus.com/ru/nvidia-geforce-mx150
138,nvidia geforce mx150 2gb,47,https://versus.com/ru/nvidia-geforce-mx150
