p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
4578,desktops,100097319,PULSER Advanced 92 черный,270850,PULSER,0,0,9100f,55,3600,4,nvidia gtx 1650 super,71,4,,true,1240,https://kaspi.kz/shop/p/pulser-advanced-92-chernyi-100097319/?c=750000000
4579,desktops,100076390,Acer Aspire S24-880 DQ.BA8MC.004 черный,519990,Acer,0,0,intel core i7 8550u,64,1800,4,intel uhd graphics 620,20,6,,false,1000,https://kaspi.kz/shop/p/acer-aspire-s24-880-dq-ba8mc-004-chernyi-100076390/?c=750000000
4595,desktops,100046241,HP Pavilion All-in-One 24-f1021ur 8XN72EA черный,225990,HP,6,0,amd ryzen 3 3200u,68,2600,2,amd radeon vega 3,18,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-24-f1021ur-8xn72ea-chernyi-100046241/?c=750000000
4598,desktops,100057270,Lenovo A340-22IGM F0EA000HRK черный,159900,Lenovo,0,0,intel celeron j4005,44,2000,2,intel uhd graphics 600,18,4,,false,1000,https://kaspi.kz/shop/p/lenovo-a340-22igm-f0ea000hrk-chernyi-100057270/?c=750000000
4600,desktops,100093524,Acer Aspire C24-865 DQ.BBTMC.002 серебристый,215900,Acer,0,0,8130u,59,2200,2,intel uhd graphics 620,20,4,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c24-865-dq-bbtmc-002-serebristyi-100093524/?c=750000000
4601,desktops,100010161,PULSER Standard 58 черный,128530,PULSER,0,0,intel core i3 8100,64,3600,4,intel uhd 630,20,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-58-chernyi-100010161/?c=750000000
4603,desktops,100119107,Lenovo Ideacentre A340-24ICK F0ER002URK черный,293690,Lenovo,10,4,intel core i5 9400t,64,1800,6,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-24ick-f0er002urk-chernyi-100119107/?c=750000000
4608,desktops,100123847,HP 22-c0013ur 4GV19EA белый,199990,HP,0,0,intel pentium j5005,44,1500,4,intel uhd graphics 605,18.5,4,,false,500,https://kaspi.kz/shop/p/hp-22-c0013ur-4gv19ea-belyi-100123847/?c=750000000
4610,desktops,100076292,Acer Aspire Z24-890 DQ.BCBMC.00B серебристый,399990,Acer,0,0,intel core i5 8400,66,2800,6,nvidia geforce mx150,47,8,,false,1000,https://kaspi.kz/shop/p/acer-aspire-z24-890-dq-bcbmc-00b-serebristyi-100076292/?c=750000000
4630,desktops,100114575,NETechnics GameMax G563 i3 черный,239990,NETechnics,10,2,8100,64,3600,4,rx 580,70,8,,true,240,https://kaspi.kz/shop/p/netechnics-gamemax-g563-i3-chernyi-100114575/?c=750000000
4632,desktops,100109538,PULSER Advanced 99 черный,417825,PULSER,10,1,intel сore i5-9400f,56,2900,6,gtx 1660 super,77,8,,true,1480,https://kaspi.kz/shop/p/pulser-advanced-99-chernyi-100109538/?c=750000000
4662,desktops,100055454,PULSER Standard 49 черный,163650,PULSER,0,0,intel pentium gold g5400,62,3700,2,geforce gtx 1050 d5 2g + intel uhd graphics 610,54,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-49-chernyi-100055454/?c=750000000
4671,desktops,1480788,HP M01-D0051ur 8RS38EA черный,189900,HP,10,1,amd ryzen 3 3200g,74,3600,4,amd radeon vega 8,40,4,,true,256,https://kaspi.kz/shop/p/hp-m01-d0051ur-8rs38ea-chernyi-1480788/?c=750000000
4704,desktops,100114581,NETechnics GameMax G563 i5 черный,229990,NETechnics,7,1,9400f,56,2900,6,gtx 1030,41,8,,true,1000,https://kaspi.kz/shop/p/netechnics-gamemax-g563-i5-chernyi-100114581/?c=750000000
4773,desktops,100091326,PULSER Advanced 103 черный,508236,PULSER,10,2,intel сore i5 9400f,56,2900,6,rtx 2060 super,86,6,,true,1480,https://kaspi.kz/shop/p/pulser-advanced-103-chernyi-100091326/?c=750000000
4774,desktops,1480770,Lenovo V530-22ICB AIO 10US00M4RU черный-серебристый,269900,Lenovo,10,1,intel core i3 9100t,66,3100,4,intel uhd 630,20,8,,false,1000,https://kaspi.kz/shop/p/lenovo-v530-22icb-aio-10us00m4ru-chernyi-serebristyi-1480770/?c=750000000
4775,desktops,1480782,HP M01-D0051ur 8RS59EA черный,199900,HP,10,2,amd ryzen 5 3400g,74,3700,4,amd radeon rx vega 11,24,4,,true,256,https://kaspi.kz/shop/p/hp-m01-d0051ur-8rs59ea-chernyi-1480782/?c=750000000
4779,desktops,1480423,Acer Aspire C27-865 DQ.BCNMC.001 серебристый,389900,Acer,10,0,intel core i5 8250u,60,1600,4,intel uhd 620,19,8,,false,1000,https://kaspi.kz/shop/p/acer-aspire-c27-865-dq-bcnmc-001-serebristyi-1480423/?c=750000000
4814,desktops,1401557,Avalon Delta G52 черный,248610,Avalon,10,0,intel core i5 7400,71,3000,4,geforce gtx 1050,54,4,,,1000,https://kaspi.kz/shop/p/avalon-delta-g52-chernyi-1401557/?c=750000000
4849,desktops,100008576,PULSER Standard 70 черный,180053,PULSER,9,0,intel сore i5-9400,67,2900,6,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/pulser-standard-70-chernyi-100008576/?c=750000000
4853,desktops,1480556,NETechnics Aerocool Cruisestar 1060,309990,NETechnics,10,0,intel core i5 6400,64,2700,4,gtx 1060,63,8,,true,1000,https://kaspi.kz/shop/p/netechnics-aerocool-cruisestar-1060-1480556/?c=750000000
4863,desktops,100063251,HP Pavilion All-in-One 24-f0163ur 8TY27EA белый,349900,HP,0,0,intel core i5 9400t,64,1800,6,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-24-f0163ur-8ty27ea-belyi-100063251/?c=750000000
4864,desktops,100188723,HP Pavilion All-in-One 24-xa0056ur 7JU03EA белый,479900,HP,0,0,intel core i5 9400t,64,1800,6,nvidia geforce gtx 1050 + intel uhd graphics 630,54,8,,true,512,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-24-xa0056ur-7ju03ea-belyi-100188723/?c=750000000
4867,desktops,1480687,Acer Veriton ES2730G DT.VS2MC.027 черный,209900,Acer,0,0,intel core i5 8400,66,2800,6,intel uhd graphics 630,21,8,,,1000,https://kaspi.kz/shop/p/acer-veriton-es2730g-dt-vs2mc-027-chernyi-1480687/?c=750000000
4878,desktops,100132439,PULSER Advanced 129 черный,607646,PULSER,0,0,amd ryzen 5 3600x,68,3800,6,geforce rtx 2070 super,87,6,,true,1480,https://kaspi.kz/shop/p/pulser-advanced-129-chernyi-100132439/?c=750000000
4883,desktops,1480683,Acer Veriton ES2730G DT.VS2MC.028 черный,289900,Acer,0,0,intel core i5 8400,66,2800,6,intel uhd graphics 630,21,8,,,1000,https://kaspi.kz/shop/p/acer-veriton-es2730g-dt-vs2mc-028-chernyi-1480683/?c=750000000
4886,desktops,100063048,HP Pavilion All-in-One 27-xa0128ur 8XF90EA белый,449900,HP,0,0,9400t,64,1800,6,nvidia geforce mx230 + intel uhd graphics 630,49,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-27-xa0128ur-8xf90ea-belyi-100063048/?c=750000000
4889,desktops,1480623,HP ProDesk 400 G5 MT 5ZS30EA черный,187899,HP,0,0,intel core i3 8100,64,3600,4,intel hd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/hp-prodesk-400-g5-mt-5zs30ea-chernyi-1480623/?c=750000000
4945,desktops,1480557,NETechnics Aerocool Cruisestar 1060 TI,379990,NETechnics,10,3,intel core i5 6400,64,2700,4,gtx 1060 ti,69,8,,true,1000,https://kaspi.kz/shop/p/netechnics-aerocool-cruisestar-1060-ti-1480557/?c=750000000
4954,desktops,100008433,PULSER Standard 71 черный,191510,PULSER,0,0,intel сore i5 9400,67,2900,6,intel uhd graphics 630,21,8,,true,240,https://kaspi.kz/shop/p/pulser-standard-71-chernyi-100008433/?c=750000000
4968,desktops,100114452,PULSER Standard 78 черный,211718,PULSER,0,0,amd ryzen 5 3500,68,3600,6,geforce gt 1030,41,8,,true,1240,https://kaspi.kz/shop/p/pulser-standard-78-chernyi-100114452/?c=750000000
4970,desktops,1480694,HP All-in-One 24-f1002ur 6PE28EA черный,242900,HP,10,1,3200u,68,2600,2,radeon vega 3,20,4,,,1000,https://kaspi.kz/shop/p/hp-all-in-one-24-f1002ur-6pe28ea-chernyi-1480694/?c=750000000
4971,desktops,1480660,ALSER Pro-Rx X Game 832 черный,239990,ALSER,0,0,intel core i5 7400,71,3000,,amd radeon rx 570,66,4,,false,1000,https://kaspi.kz/shop/p/alser-pro-rx-x-game-832-chernyi-1480660/?c=750000000
4978,desktops,100022210,Acer Veriton ES2735G DT.VSJMC.008 черный,169900,Acer,0,0,intel core i3-9100,67,3600,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/acer-veriton-es2735g-dt-vsjmc-008-chernyi-100022210/?c=750000000
4990,desktops,1480673,HP Pavilion All-in-One 27-xa0102ur 7JZ58EA белый,495900,HP,0,0,9400t,64,1800,6,nvidia geforce mx230 + intel uhd graphics 630,49,4,,,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-27-xa0102ur-7jz58ea-belyi-1480673/?c=750000000
4998,desktops,100119043,Lenovo IdeaCentre A340-22ICK F0ES005JRU черный,229900,Lenovo,0,0,intel core i3 9100t,66,3100,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-22ick-f0es005jru-chernyi-100119043/?c=750000000
4999,desktops,100091305,PULSER Advanced 126 черный,523131,PULSER,0,0,amd ryzen 5 3600,67,3600,6,rtx 2060 super,86,6,,true,960,https://kaspi.kz/shop/p/pulser-advanced-126-chernyi-100091305/?c=750000000
5003,desktops,1480536,Smart Hermes белый,377050,Smart,10,1,intel core i5 8400,66,2800,6,gtx 1060 + intel uhd 630,63,8,,true,1120,https://kaspi.kz/shop/p/smart-hermes-belyi-1480536/?c=750000000
5113,desktops,1480682,Acer Veriton ES2730G DT.VS2MC.026 черный,283622,Acer,10,1,intel core i3 8100,64,3600,4,intel uhd graphics 630,21,4,,,1000,https://kaspi.kz/shop/p/acer-veriton-es2730g-dt-vs2mc-026-chernyi-1480682/?c=750000000
